Name,Symbol,Code,Countries,Digits,Number
UK Pound,£,GBP,"Guernsey,Isle Of Man,Jersey,United Kingdom Of Great Britain And Northern Ireland (The)",2.0,826.0
Czech Koruna,Kč,CZK,Czechia,2.0,203.0
Latvian Lat,Ls,LVL,,,
Swiss Franc,CHF,CHF,"Liechtenstein,Switzerland",2.0,756.0
Croatian Kruna,kn,HRK,Croatia,2.0,191.0
Danish Krone,kr,DKK,"Denmark,Faroe Islands (The),Greenland",2.0,208.0
Korean Won,₩,KRW,Korea (The Republic Of),0.0,410.0
Swedish Krona,kr,SEK,Sweden,2.0,752.0
Turkish Lira,₤,TRY,Turkey,2.0,949.0
Hungarian Forint,Ft,HUF,Hungary,2.0,348.0
Brazilian Real,R$,BRL,Brazil,2.0,986.0
Lithuanian Litas,Lt,LTL,,,
Bulgarian Lev,лB,BGN,Bulgaria,2.0,975.0
Polish Zloty,zł,PLN,Poland,2.0,985.0
US Dollar,$,USD,"American Samoa,Bonaire, Sint Eustatius And Saba,British Indian Ocean Territory (The),Ecuador,El Salvador,Guam,Haiti,Marshall Islands (The),Micronesia (Federated States Of),Northern Mariana Islands (The),Palau,Panama,Puerto Rico,Timor-Leste,Turks And Caicos Islands (The),United States Minor Outlying Islands (The),United States Of America (The),Virgin Islands (British),Virgin Islands (U.S.)",2.0,840.0
Russian Ruble,руб,RUB,Russian Federation (The),2.0,643.0
Japanese Yen,¥,JPY,Japan,0.0,392.0
Romanian New Leu,lei,RON,Romania,2.0,946.0
Norwegian Krone,kr,NOK,"Bouvet Island,Norway,Svalbard And Jan Mayen",2.0,578.0
Australian Dollar,$,AUD,"Australia,Christmas Island,Cocos (Keeling) Islands (The),Heard Island And Mcdonald Islands,Kiribati,Nauru,Norfolk Island,Tuvalu",2.0,36.0
Israeli Shekel,₪,ILS,Israel,2.0,376.0
New Zealand Dollar,$,NZD,"Cook Islands (The),New Zealand,Niue,Pitcairn,Tokelau",2.0,554.0
Indonesian Rupiah,Rp,IDR,Indonesia,2.0,360.0
Philippine Peso,₱,PHP,Philippines (The),2.0,608.0
Euro,€,EUR,"Andorra,Austria,Belgium,Cyprus,Estonia,European Union,Finland,France,French Guiana,French Southern Territories (The),Germany,Greece,Guadeloupe,Holy See (The),Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Monaco,Montenegro,Netherlands (The),Portugal,Réunion,Saint Barthélemy,Saint Martin (French Part),Saint Pierre And Miquelon,San Marino,Slovakia,Slovenia,Spain,Åland Islands",2.0,978.0
Canadian Dollar,$,CAD,Canada,2.0,124.0
Chinese Yuan,¥,CNY,China,2.0,156.0
Hong Kong Dollar,$,HKD,Hong Kong,2.0,344.0
Indian Rupee,₨,INR,"Bhutan,India",2.0,356.0
Mexican Peso,$,MXN,Mexico,2.0,484.0
Malaysian Ringgit,RM,MYR,Malaysia,2.0,458.0
South African Rand,R,ZAR,"Lesotho,Namibia,South Africa",2.0,710.0
Thai Baht,฿,THB,Thailand,2.0,764.0
Singaporean Dollar,$,SGD,Singapore,2.0,702.0
